excitation;excitation
240;1.20E+08
241;1.25E+08
242;1.31E+08
243;1.35E+08
244;1.39E+08
245;1.45E+08
246;1.50E+08
247;1.54E+08
248;1.58E+08
249;1.61E+08
250;1.65E+08
251;1.69E+08
252;1.71E+08
253;1.72E+08
254;1.74E+08
255;1.74E+08
256;1.75E+08
257;1.75E+08
258;1.73E+08
259;1.73E+08
260;1.71E+08
261;1.70E+08
262;1.69E+08
263;1.67E+08
264;1.65E+08
265;1.64E+08
266;1.63E+08
267;1.61E+08
268;1.60E+08
269;1.59E+08
270;1.57E+08
271;1.56E+08
272;1.55E+08
273;1.53E+08
274;1.52E+08
275;1.51E+08
276;1.49E+08
277;1.48E+08
278;1.48E+08
279;1.47E+08
280;1.45E+08
281;1.44E+08
282;1.43E+08
283;1.42E+08
284;1.42E+08
285;1.41E+08
286;1.39E+08
287;1.39E+08
288;1.37E+08
289;1.36E+08
290;1.33E+08
291;1.31E+08
292;1.29E+08
293;1.27E+08
294;1.25E+08
295;1.23E+08
296;1.21E+08
297;1.19E+08
298;1.17E+08
299;1.15E+08
300;1.13E+08
301;1.11E+08
302;1.10E+08
303;1.09E+08
304;1.08E+08
305;1.07E+08
306;1.06E+08
307;1.05E+08
308;1.04E+08
309;1.04E+08
310;1.03E+08
311;1.02E+08
312;1.01E+08
313;9.98E+07
314;9.86E+07
315;9.76E+07
316;9.63E+07
317;9.45E+07
318;9.25E+07
319;9.04E+07
320;8.80E+07
321;8.56E+07
322;8.30E+07
323;8.01E+07
324;7.71E+07
325;7.39E+07
326;7.09E+07
327;6.74E+07
328;6.34E+07
329;5.98E+07
330;5.60E+07
331;5.20E+07
332;4.76E+07
333;4.36E+07
334;3.96E+07
335;3.56E+07
336;3.19E+07
337;2.83E+07
338;2.52E+07
339;2.21E+07
340;1.95E+07
341;1.73E+07
342;1.51E+07
343;1.35E+07
344;1.22E+07
345;1.11E+07
346;1.01E+07
347;9.43E+06
348;8.94E+06
349;8.58E+06
350;8.30E+06
351;8.14E+06
352;8.08E+06
353;8.02E+06
354;8.05E+06
355;8.15E+06
356;8.25E+06
357;8.40E+06
358;8.59E+06
359;8.69E+06
360;8.88E+06
361;9.08E+06
362;9.23E+06
363;9.41E+06
364;9.57E+06
365;9.71E+06
366;9.86E+06
367;1.00E+07
368;1.01E+07
369;1.02E+07
370;1.04E+07
371;1.04E+07
372;1.05E+07
373;1.06E+07
374;1.06E+07
375;1.07E+07
376;1.07E+07
377;1.07E+07
378;1.07E+07
379;1.07E+07
380;1.07E+07
381;1.07E+07
382;1.06E+07
383;1.05E+07
384;1.05E+07
385;1.04E+07
386;1.03E+07
387;1.02E+07
388;1.01E+07
389;9.85E+06
390;9.66E+06
391;9.48E+06
392;9.22E+06
393;8.98E+06
394;8.68E+06
395;8.39E+06
396;8.04E+06
397;7.75E+06
398;7.40E+06
399;7.04E+06
400;6.71E+06
401;6.30E+06
402;5.97E+06
403;5.62E+06
404;5.20E+06
405;4.86E+06
406;4.47E+06
407;4.13E+06
408;3.77E+06
409;3.46E+06
410;3.12E+06
411;2.88E+06
412;2.64E+06
413;2.39E+06
414;2.16E+06
415;1.97E+06
416;1.78E+06
417;1.60E+06
418;1.46E+06
419;1.31E+06
420;1.19E+06
421;1.06E+06
422;978165.2883
423;904544.6992
424;825768.8053
425;757895.5271
426;704630.7962
427;656817.3342
428;608436.7795
429;580249.1705
430;545920.2726
431;524332.9775
432;513134.0686
433;496165.3186
434;490978.5179
435;484251.9497
436;491519.9156
437;494406.6164
438;521341.9945
439;553831.5414
440;610766.159
